"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796947382850236841","Sat Jun 01 16:50:16 +0000 2024","0","Cobaan lu setiap ultah ada aja ya wkwk ALL EYES ON RAFAH","1796947382850236841","","","in","indonesia","0","0","0","https://x.com/mipihyuck/status/1796947382850236841","1281520490410991616","mipihyuck"
"1796939205903548700","Sat Jun 01 16:49:39 +0000 2024","0","@dearestnanon CEPET OPEN PO GAK","1796947228621435294","","dearestnanon","in","isekai","0","0","0","https://x.com/voshecate/status/1796947228621435294","1260943712034537473","voshecate"
"1796946381938262217","Sat Jun 01 16:49:34 +0000 2024","0","kenapa ga se hype karna beritanya yg minim muncul bukan salah org yg pada gatau juga emg algoritmanya yg digembor in drdulu sampe skrg emg palestina bantu aja nge up up berita perang yaman arab it kl emg bnyk korban sipil juga justru all eyes on rafah itu digembor in biar","1796947208010715606","","rayhannrm","in","","0","1","0","https://x.com/rayhannrm/status/1796947208010715606","1096789233837125633","rayhannrm"
"1796325208988737783","Sat Jun 01 16:48:56 +0000 2024","0","@dusthazel @tanyakanrl Ditiktok pada bandingin pembela all eyes on Rafah ga kaya all eyes on papua kak","1796947049294033174","","dusthazel","in","","0","0","0","https://x.com/_7starlight/status/1796947049294033174","1712152762283339776","_7starlight"
"1795693455559328073","Sat Jun 01 16:48:51 +0000 2024","0","@ZWardynski RAFAH OR RAFAH TO RICHES:","1796947026992853450","","ZWardynski","in","","0","0","0","https://x.com/liamxxxmail/status/1796947026992853450","1240552332275757056","liamxxxmail"
"1796946474351407326","Sat Jun 01 16:46:39 +0000 2024","0","babi bgt dah INI MAU JAM 00.00????","1796946474351407326","","","in","07L || `INFP","0","0","0","https://x.com/bluusyea/status/1796946474351407326","1651841085050880001","bluusyea"
"1796946356030095588","Sat Jun 01 16:46:12 +0000 2024","0","...tepat di sekitar Aula Pernikahan Sindbad barat daya Kota Rafah selatan Jalur Gaza.","1796946358320185773","","Thufan_al_Aqsha","in","Al-Quds, Palestina","1","0","0","https://x.com/Thufan_al_Aqsha/status/1796946358320185773","1746437889712615424","Thufan_al_Aqsha"
"1796946236106498360","Sat Jun 01 16:45:42 +0000 2024","0","ganteng banget https://t.co/8vx31KDsFd","1796946236106498360","https://pbs.twimg.com/amplify_video_thumb/1796918308593397760/img/xs-EdYpHmT0JLCJ3.jpg","","in","hajeongwoo's land","0","0","0","https://x.com/harutothumbs/status/1796946236106498360","768623194542448640","harutothumbs"
"1796943445975769278","Sat Jun 01 16:45:41 +0000 2024","9","@nctzenbase Impact story -20m renjun tuh besar. Cnetz dan inetz yg sebelumnya masih buta mulai nyari tau(langkah positif awal) apa yg terjadi di Rafah. Dan yg udah tau mulai berani buat donasi atau sekedar menunjukkan dukungan. Jadi stop kata² dia upload story biar follsnya g turun ","1796946228221218947","","nctzenbase","in","ALL EYES ON RAFAH ","0","3","0","https://x.com/ochacaochaca/status/1796946228221218947","884038056415592450","ochacaochaca"
"1796946190233481426","Sat Jun 01 16:45:32 +0000 2024","0","Kak aku kangen gilang resha masa kapan balikannya maaf ya sayang kemaren aku hectic rl ditambah kejadian yang di rafah kemaren jadi aku hiatus nulis beberapa hari dulu na https://t.co/tkz4X2FYfN https://t.co/PJffxv6g91","1796946190233481426","https://pbs.twimg.com/media/GPAJCETaQAAKQv-.jpg","","in","RPS, legal.","0","0","0","https://x.com/gyuvinchy/status/1796946190233481426","1654546106485964800","gyuvinchy"
